,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year
315,258,Richard Anderson,29,CHH,PF,54,2,11.2,1.6,3.9,0.417,0.7,1.9,0.37,0.9,2.1,0.459,0.505,0.3,0.4,0.783,0.6,1.7,2.4,1,0.4,0.2,0.5,1.2,4.3,,1990
312,255,Ed Horton,22,WSB,PF,45,10,8.3,1.8,3.6,0.494,0,0.1,0,1.8,3.5,0.506,0.494,0.9,1.5,0.609,1.3,1.1,2.4,0.4,0.2,0.1,0.9,1.4,4.5,,1990
302,248,Melvin Turpin,29,WSB,C,59,12,13.9,1.9,3.5,0.526,0,0,0,1.9,3.5,0.531,0.526,0.9,1.2,0.789,1.5,2.3,3.7,0.5,0.3,0.8,0.8,2.3,4.7,,1990
329,270,Calvin Natt,33,IND,SF,14,0,11.7,1.4,2.2,0.645,0,0,,1.4,2.2,0.645,0.645,1.2,1.6,0.773,0.7,1.8,2.5,0.6,0.1,0,0.4,1,4.1,,1990
349,286,Jim Rowinski,29,MIA,PF,14,0,8,1,2.3,0.438,0,0,,1,2.3,0.438,0.438,1.6,1.9,0.846,1.2,0.9,2.1,0.4,0.1,0.1,0.7,1.4,3.6,,1990
345,282,Randy Allen,25,SAC,SG,63,6,11.8,1.7,3.8,0.444,0,0.1,0,1.7,3.7,0.457,0.444,0.4,0.7,0.535,0.8,1.4,2.2,0.4,0.3,0.3,0.4,1.6,3.7,,1990
339,276,Wes Matthews,30,ATL,PG,1,0,13,1,3,0.333,0,1,0,1,2,0.5,0.333,2,2,1,0,0,0,5,0,0,0,0,4,,1990
337,274,Marques Johnson,33,GSW,SF,10,0,9.9,1.2,3.2,0.375,0.2,0.3,0.667,1,2.9,0.345,0.406,1.4,1.7,0.824,0.8,0.9,1.7,0.9,0,0.1,1,1.2,4,,1990
257,219,John Lucas,36,HOU,PG,49,18,19.1,2.2,5.9,0.375,0.5,1.8,0.299,1.7,4.2,0.407,0.419,0.9,1.1,0.764,0.4,1.4,1.8,4.9,0.9,0,1.7,1.2,5.8,,1990
250,214,Adrian Branch,26,MIN,SF,11,0,8.3,2.3,5.5,0.41,0.1,0.1,1,2.2,5.5,0.4,0.418,1.3,2,0.636,0.7,1.1,1.8,0.4,0.5,0,0.7,1.3,5.9,,1990
246,210,Bill Hanzlik,32,DEN,PF,81,0,19.8,2.2,4.9,0.452,0.1,0.4,0.194,2.1,4.5,0.474,0.46,1.7,2.3,0.743,0.8,1.7,2.6,2.3,1,0.4,1.1,3.1,6.2,,1990
357,292,Jerry Sichting,33,MIL,PG,1,0,27,0,6,0,0,0,,0,6,0,0,3,4,0.75,0,0,0,2,0,0,0,1,3,,1990
290,240,Michael Young,29,LAC,SF,45,2,10.2,2,4.3,0.474,0.2,0.6,0.308,1.9,3.7,0.5,0.495,0.6,0.8,0.711,0.8,1.1,1.9,0.5,0.6,0.1,0.3,1,4.9,,1990
277,230,Jay Vincent,30,2TM,SF,41,6,11.2,2.1,4.5,0.47,0,0,0.5,2.1,4.4,0.47,0.473,1,1.2,0.837,0.5,1,1.5,0.4,0.4,0.1,0.8,1.3,5.2,,1990
283,234,Brian Rowsom,24,CHH,PF,44,2,12.7,1.8,4.1,0.436,0,0,0.5,1.8,4,0.435,0.439,1.5,1.9,0.819,1,2,3,0.5,0.4,0.3,0.6,1.3,5.1,,1990
443,356,Jeff Lebo,23,SAS,SG,4,0,8,0.5,1.8,0.286,0,0,,0.5,1.8,0.286,0.286,0.5,0.5,1,0.5,0.5,1,0.8,0.5,0,0.3,1.8,1.5,,1990
447,358,Ralph Lewis,26,CHH,SF,3,0,6.7,1.3,2,0.667,0,0,,1.3,2,0.667,0.667,0.7,0.7,1,1.3,0.7,2,0,0.3,0,0.3,0.7,3.3,,1990
430,346,Michael Holton,28,CHH,PG,16,0,6.8,0.9,1.6,0.538,0,0,,0.9,1.6,0.538,0.538,0.1,0.1,0.5,0.1,0.1,0.1,1,0.1,0,0.8,1.2,1.8,,1990
429,345,Jay Edwards,21,LAC,SG,4,0,6.5,0.8,1.8,0.429,0,0.5,0,0.8,1.3,0.6,0.429,0.3,0.8,0.333,0.3,0.3,0.5,1,0.3,0,0.3,1,1.8,,1990
427,343,Doug Roth,22,WSB,C,42,0,9.8,0.9,2,0.43,0,0,0,0.9,2,0.435,0.43,0.2,0.3,0.5,1,1.8,2.9,0.5,0.2,0.3,0.4,1.7,1.9,,1990
424,340,Gary Voce,24,CLE,PF,1,0,4,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2,,1990
423,339,Dyron Nix,22,IND,SF,20,0,5.5,0.7,2,0.359,0,0,,0.7,2,0.359,0.359,0.6,0.8,0.688,0.4,0.9,1.3,0.3,0.2,0.1,0.4,0.8,2,,1990
422,338,Mike Morrison,22,PHO,SG,36,1,4.3,0.6,1.9,0.338,0.1,0.2,0.286,0.6,1.7,0.344,0.353,0.7,0.8,0.8,0.2,0.4,0.6,0.3,0.1,0,0.6,0.6,2,,1990
433,349,Mel McCants,22,LAL,SF,13,0,5,0.6,2,0.308,0,0,,0.6,2,0.308,0.308,0.5,0.6,0.75,0.1,0.4,0.5,0.2,0.2,0.1,0.1,0.8,1.7,,1990
475,381,Mark Wade,24,DAL,PG,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,0,0,0,,1990
474,380,Dexter Shouse,26,PHI,PG,3,0,6,0,1.3,0,0,0.3,0,0,1,0,0,0,0,,0,0,0,0.7,0.3,0.3,0.7,0.7,0,,1990
473,379,Greg Stokes,26,SAC,PF,11,0,3.1,0.1,0.8,0.111,0,0,,0.1,0.8,0.111,0.111,0.2,0.2,1,0.2,0.3,0.5,0,0,0,0.3,0.7,0.4,,1990
472,378,Rick Carlisle,30,NJN,SG,5,0,4.2,0.2,1.4,0.143,0,0.6,0,0.2,0.8,0.25,0.143,0,0,,0,0,0,1,0.2,0.2,0.8,1.4,0.4,,1990
470,376,Michael Jackson,25,SAC,PG,17,0,3.4,0.2,0.6,0.273,0.1,0.1,0.5,0.1,0.5,0.222,0.318,0.2,0.4,0.5,0.1,0.3,0.4,0.5,0.3,0,0.2,0.2,0.6,,1990
465,374,Mike Williams,26,2TM,SF,21,0,4.9,0.3,0.9,0.333,0,0,0,0.3,0.8,0.353,0.333,0.1,0.3,0.5,0.2,0.9,1.1,0.1,0.1,0.3,0.1,1.4,0.7,,1990
460,369,Raymond Brown,24,UTA,PF,16,0,3.5,0.5,1.8,0.286,0,0,,0.5,1.8,0.286,0.286,0,0.1,0,0.6,0.3,0.9,0.3,0,0,0.4,0.7,1,,1990
459,368,Leonard Taylor,23,GSW,PF,10,0,3.7,0,0.6,0,0,0.1,0,0,0.5,0,0,1.1,1.6,0.688,0.4,0.8,1.2,0.1,0,0,0.5,0.4,1.1,,1990
458,367,Eric Johnson,23,UTA,PG,48,2,5.7,0.4,1.8,0.238,0,0.1,0.167,0.4,1.6,0.244,0.244,0.3,0.4,0.765,0.2,0.4,0.6,1.3,0.4,0,0.5,1,1.1,,1990
452,361,Steve Bucknall,23,LAL,SG,18,0,4.2,0.5,1.8,0.273,0,0.1,0,0.5,1.8,0.281,0.273,0.3,0.3,0.833,0.3,0.1,0.4,0.6,0.1,0.1,0.6,0.6,1.3,,1990
451,360,Torgeir Bryn,25,LAC,C,3,0,3.3,0,0.7,0,0,0,,0,0.7,0,0,1.3,2,0.667,0,0.7,0.7,0,0.7,0.3,0.3,1.7,1.3,,1990
240,206,Jim Paxson,32,BOS,PG,72,25,17.8,2.7,5.9,0.453,0.1,0.3,0.25,2.6,5.6,0.463,0.459,1,1.3,0.811,0.3,0.7,1.1,1.9,0.5,0.1,0.8,1.6,6.4,,1990
386,316,Charles Davis,31,CHI,SF,53,0,8.1,1.1,3,0.367,0.1,0.5,0.28,1,2.5,0.383,0.389,0.1,0.2,0.875,0.5,1.1,1.5,0.3,0.2,0.2,0.4,1,2.5,,1990
383,313,Žarko Paspalj,23,SAS,SF,28,1,6.5,1,2.8,0.342,0,0,0,1,2.8,0.346,0.342,0.6,0.8,0.818,0.5,0.5,1.1,0.4,0.1,0.3,0.8,1.3,2.6,,1990
375,305,Jay Taylor,22,NJN,SG,17,0,6.7,1.2,3.1,0.404,0.2,0.8,0.231,1.1,2.3,0.462,0.433,0.4,0.5,0.667,0.3,0.4,0.6,0.3,0.3,0.2,0.6,0.5,3,,1990
370,300,José Ortiz,26,UTA,PF,13,0,4.9,1.5,3.2,0.452,0.1,0.2,0.5,1.4,3.1,0.45,0.464,0.2,0.4,0.6,0.6,0.5,1.2,0.5,0.2,0.1,0.4,1.2,3.2,,1990
363,295,Lewis Lloyd,30,2TM,SG,21,0,5.9,1.4,2.5,0.566,0,0,,1.4,2.5,0.566,0.566,0.4,0.8,0.563,0.4,0.5,0.9,0.5,0.1,0,1,0.6,3.3,,1990
373,303,Anthony Jones,27,DAL,SG,66,0,9.8,1.1,2.9,0.371,0.1,0.2,0.308,1,2.7,0.376,0.381,0.7,1,0.681,0.5,0.7,1.2,0.4,0.5,0.2,0.6,1.2,3,,1990
413,332,Steve Harris,26,LAC,SG,15,0,6.2,0.9,2.7,0.35,0,0,,0.9,2.7,0.35,0.35,0.2,0.3,0.75,0.3,0.3,0.7,0.1,0.5,0.1,0.3,0.6,2.1,,1990
410,331,Uwe Blab,27,2TM,C,47,33,11.3,0.8,2.1,0.398,0,0,,0.8,2.1,0.398,0.398,0.4,0.8,0.541,0.6,1.7,2.3,0.5,0,0.5,0.7,2.2,2.1,,1990
